Tenant,Group,Same,Chosen,Score
KPNI Limited,27.0,0.0,0.0,85.71
TEDI,27.0,0.0,0.0,85.71
,,,,
AB Svensk Bilprovning,28.0,1.0,1.0,100.0
J Bil AB,28.0,0.0,0.0,85.71
,,,,
AB Transports,29.0,1.0,1.0,100.0
ALSTOM TRANSPORT SA,29.0,0.0,0.0,91.67
ARCESE TRANSPORT,29.0,0.0,0.0,86.96
Amazon Road Transport,29.0,0.0,0.0,88.0
Arcese Transports,29.0,0.0,0.0,91.67
B2C Transport,29.0,0.0,0.0,88.0
BMD Transportservice,29.0,0.0,0.0,84.62
Clarkes Cabin Transport Limited.,29.0,0.0,0.0,86.96
Compagnie de Transports Financiere et Immobiliere Contrafi S.A.,29.0,0.0,0.0,91.67
De Boer Transports France,29.0,0.0,0.0,91.67
Entrepots et Transports Barbe,29.0,0.0,0.0,91.67
Festa Trasporti,29.0,0.0,0.0,83.33
"Frigodia - Transportes e Logística, Lda.",29.0,0.0,0.0,92.31
GAMBLIN (TRANSPORT),29.0,0.0,0.0,86.96
GK TRANSPORT,29.0,0.0,0.0,86.96
Goods Transport Scandinavia AB,29.0,0.0,0.0,91.67
Guillaume Naurais Transports,29.0,0.0,0.0,91.67
Gvt Transport & Logistics,29.0,0.0,0.0,86.96
HT Transport & Spedition A/S,29.0,0.0,0.0,86.96
Haardwork Transport AB,29.0,0.0,0.0,86.96
Hakarps Schakt & Transport AB,29.0,0.0,0.0,86.96
ID Transport,29.0,0.0,0.0,86.96
Inter Express Transport,29.0,0.0,0.0,86.96
MPW TRANSPORTS,29.0,0.0,0.0,91.67
MQ Transport Limited,29.0,0.0,0.0,86.96
Matra Trasporti,29.0,0.0,0.0,83.33
Mayer Transport,29.0,0.0,0.0,86.96
Meyer & Meyer Transport Services GmbH,29.0,0.0,0.0,86.96
P.L. Transport Limited.,29.0,0.0,0.0,86.96
Special Transport Holdings,29.0,0.0,0.0,88.0
Susa Trasporti,29.0,0.0,0.0,83.33
TRANSPORT MALHERBE,29.0,0.0,0.0,88.0
TRANSPORT PORTMANN,29.0,0.0,0.0,86.96
TRANSPORTS ALAINE,29.0,0.0,0.0,91.67
TRANSPORTS BREVET,29.0,0.0,0.0,91.67
TRANSPORTS CBC EXPRESS,29.0,0.0,0.0,91.67
TRANSPORTS CORDIER,29.0,0.0,0.0,91.67
TRANSPORTS GELIN,29.0,0.0,0.0,91.67
TRANSPORTS LAHAYE,29.0,0.0,0.0,91.67
TRANSPORTS PEDRETTI,29.0,0.0,0.0,91.67
TRANSPORTS SF,29.0,0.0,0.0,91.67
TRANSPORTS TDR,29.0,0.0,0.0,91.67
TRANSPORTS TOUSSAINT,29.0,0.0,0.0,91.67
TRANSPORTS VIGNERON,29.0,0.0,0.0,86.96
Transport Bernard,29.0,0.0,0.0,86.96
Transport Charvin,29.0,0.0,0.0,86.96
"Transportes do Vale, Lda.",29.0,0.0,0.0,92.31
Transports GONDRAND Freres,29.0,0.0,0.0,91.67
Transports Groussard,29.0,0.0,0.0,91.67
Transports Malherbe,29.0,0.0,0.0,92.31
Transports Pages,29.0,0.0,0.0,91.67
Transports Portmann,29.0,0.0,0.0,91.67
Trasporti Romagna,29.0,0.0,0.0,83.33
Vir Transports,29.0,0.0,0.0,86.96
,,,,
ABAC,30.0,1.0,1.0,100.0
Abacus Cooperativa,30.0,0.0,0.0,100.0
Tabaccoland,30.0,0.0,0.0,100.0
,,,,
ABB,31.0,1.0,1.0,100.0
ABB AB,31.0,0.0,0.0,100.0
ABB FRANCE,31.0,0.0,0.0,100.0
Abbey Pynford Limited,31.0,0.0,0.0,100.0
,,,,
ABB AB,32.0,1.0,1.0,100.0
Ambius AB,32.0,0.0,0.0,83.33
BaBa's Bilvård i Uppland AB,32.0,0.0,0.0,83.33
Bibix AB,32.0,0.0,0.0,83.33
Cabonline Region Mitt AB,32.0,0.0,0.0,83.33
Mor Gabriel AB,32.0,0.0,0.0,83.33
,,,,
ABB FRANCE,33.0,1.0,1.0,100.0
ALLOGA FRANCE,33.0,0.0,0.0,88.89
Europcar France,33.0,0.0,0.0,84.21
NC,33.0,0.0,0.0,100.0
,,,,
ABL Accident Repair Group Limited,34.0,1.0,1.0,100.0
Bgroup,34.0,0.0,0.0,83.33
,,,,
"ABRAÇO PONDERADO, LDA.",35.0,1.0,1.0,100.0
ADEO,35.0,0.0,0.0,85.71
,,,,
ACIS Group,36.0,1.0,1.0,100.0
AO Group,36.0,0.0,0.0,85.71
Bgroup,36.0,0.0,0.0,90.91
CIS,36.0,0.0,0.0,100.0
DB Group,36.0,0.0,0.0,85.71
DCS Group,36.0,0.0,0.0,88.89
,,,,
ACSpeedtech Ltd,37.0,1.0,1.0,100.0
CSP,37.0,0.0,0.0,100.0
Cesped,37.0,0.0,0.0,83.33
HFD Ltd,37.0,0.0,0.0,83.33
,,,,
ACTION,38.0,1.0,1.0,100.0
ANDRE JACQ FORMATION,38.0,0.0,0.0,83.33
ASSOCIATION LES AMIS DE GERMENOY,38.0,0.0,0.0,83.33
ASSOCIATION TULIPE,38.0,0.0,0.0,83.33
ATS INTERNATIONAL,38.0,0.0,0.0,83.33
Action,38.0,0.0,0.0,100.0
Adey Innovation Limited.,38.0,0.0,0.0,83.33
Allied International France Sarl,38.0,0.0,0.0,83.33
BANSARD INTERNATIONAL,38.0,0.0,0.0,83.33
But International,38.0,0.0,0.0,83.33
C2B INTERNATIONAL,38.0,0.0,0.0,83.33
C2B International SAS,38.0,0.0,0.0,83.33
CAB FORMATIONS,38.0,0.0,0.0,83.33
Caddick Construction Ltd.,38.0,0.0,0.0,83.33
Cheshire Metal Fabrications Ltd.,38.0,0.0,0.0,83.33
Cheshire Traditional Contracting Company Limited,38.0,0.0,0.0,83.33
City Fire Protection and Maintenance Services Ltd,38.0,0.0,0.0,83.33
Cornerstone Telecommunications Infrastructure Limited,38.0,0.0,0.0,83.33
Cube International Ltd,38.0,0.0,0.0,83.33
"DHL International
(Uk) Limited",38.0,0.0,0.0,83.33
Dexam International,38.0,0.0,0.0,83.33
EVERNEX INTERNATIONAL SAS,38.0,0.0,0.0,83.33
EasyTelecom International AB,38.0,0.0,0.0,83.33
Ensign Communications Ltd.,38.0,0.0,0.0,83.33
"Eruma Security
International Ltd",38.0,0.0,0.0,83.33
Evernex International Sas,38.0,0.0,0.0,83.33
Expeditors International,38.0,0.0,0.0,83.33
Express Aviation Support International Limited,38.0,0.0,0.0,83.33
F Looendersloot Internationale Expedite,38.0,0.0,0.0,83.33
Food Innovations,38.0,0.0,0.0,83.33
Fortifikationsverket,38.0,0.0,0.0,83.33
Fos Manu Traction,38.0,0.0,0.0,100.0
GE Aviation / Dowty Properllers,38.0,0.0,0.0,83.33
GT LOCATION,38.0,0.0,0.0,90.91
Groupe Rocher Operations,38.0,0.0,0.0,83.33
Gt Location,38.0,0.0,0.0,90.91
Hire Station Limited,38.0,0.0,0.0,90.91
IMES International Limited,38.0,0.0,0.0,83.33
In Situ Site Investigation,38.0,0.0,0.0,83.33
"Internationale Lagerlogistik Systeme, SL",38.0,0.0,0.0,83.33
Iterum Therapautics International Ltd. (BCS Express Ltd),38.0,0.0,0.0,83.33
Kratos Communications Limited,38.0,0.0,0.0,83.33
LOGISTICS OPERATIONS,38.0,0.0,0.0,83.33
Le Lit National,38.0,0.0,0.0,83.33
Lear Corporation,38.0,0.0,0.0,83.33
Leeds Federated Housing Association,38.0,0.0,0.0,83.33
Lion International BV,38.0,0.0,0.0,83.33
MEL Aviation Components Limited,38.0,0.0,0.0,83.33
Metalart Fabrication Ltd,38.0,0.0,0.0,83.33
NBM Contracting Ltd.,38.0,0.0,0.0,83.33
National Grid Electricity Transmission Plc,38.0,0.0,0.0,83.33
National Tyre Service Limited,38.0,0.0,0.0,83.33
Nationalbanken,38.0,0.0,0.0,83.33
Nijman International B.V.,38.0,0.0,0.0,83.33
ORCHESTRE NATIONAL D'ILE DE FRANCE,38.0,0.0,0.0,83.33
Oakland International,38.0,0.0,0.0,83.33
Obex Protection Ltd,38.0,0.0,0.0,90.91
Otago LLC-VBT Bicycling Vacations,38.0,0.0,0.0,83.33
PHUKET WOK CORPORATION,38.0,0.0,0.0,83.33
Peregrine Holdings International GmbH,38.0,0.0,0.0,83.33
Philip Grahame International Ltd,38.0,0.0,0.0,83.33
Power On Connections Ltd,38.0,0.0,0.0,83.33
Procter and Gamble Operations Polska sp. z o.o.,38.0,0.0,0.0,83.33
"RHEINKRAFT INTERNATIONAL, GMBH",38.0,0.0,0.0,83.33
Reyes Integrations,38.0,0.0,0.0,83.33
SENATOR INTERNATIONAL Spedition GmbH,38.0,0.0,0.0,83.33
SENATOR International Spedition,38.0,0.0,0.0,83.33
SPX International Limited,38.0,0.0,0.0,83.33
STE D'EXPLOITATION DES DEPANNAGES BENARD,38.0,0.0,0.0,83.33
Sanctuary Group Association,38.0,0.0,0.0,83.33
Starlab International GmbH,38.0,0.0,0.0,83.33
TOOLSTATION,38.0,0.0,0.0,90.91
TTK Confectionery,38.0,0.0,0.0,83.33
Tarpey Harris T/A Altaras International,38.0,0.0,0.0,83.33
The Motoring Organisation,38.0,0.0,0.0,83.33
ToolStation Ltd,38.0,0.0,0.0,90.91
Toolstation,38.0,0.0,0.0,90.91
Toolstation Limited,38.0,0.0,0.0,90.91
Toolstation Limited.,38.0,0.0,0.0,90.91
Toolstation SAS,38.0,0.0,0.0,90.91
Torque Developments International plc,38.0,0.0,0.0,83.33
VF Corporation,38.0,0.0,0.0,83.33
VIA LOCATION,38.0,0.0,0.0,83.33
Vos Logistics International B.V.,38.0,0.0,0.0,83.33
Y International (Uk) Ltd,38.0,0.0,0.0,83.33
,,,,
ADAM Textile,39.0,1.0,1.0,100.0
Asda,39.0,0.0,0.0,85.71
,,,,
ADC Concept,40.0,1.0,1.0,100.0
NC,40.0,0.0,0.0,100.0
,,,,
"ADEA, ALC",41.0,1.0,1.0,100.0
ADEO,41.0,0.0,0.0,85.71
,,,,
ADEO,42.0,1.0,1.0,100.0
ADEXCEL,42.0,0.0,0.0,85.71
Adey Innovation Limited.,42.0,0.0,0.0,85.71
General Trade,42.0,0.0,0.0,85.71
Ocado,42.0,0.0,0.0,85.71
RM Trade,42.0,0.0,0.0,85.71
SADE CGTH,42.0,0.0,0.0,85.71
Servtrade AB,42.0,0.0,0.0,85.71
TAYLORMADE LOGISTICS,42.0,0.0,0.0,85.71
Tailormade Logistics,42.0,0.0,0.0,85.71
,,,,
ADIDOR,43.0,1.0,1.0,100.0
Aldi,43.0,0.0,0.0,85.71
,,,,
ADVITAM VERTIDIS,44.0,1.0,1.0,100.0
MERIDI,44.0,0.0,0.0,83.33
,,,,
AF Logistics,45.0,1.0,1.0,100.0
AF Logistics S.p.a.,45.0,0.0,0.0,100.0
AXE LOGISTICS,45.0,0.0,0.0,90.91
AZ Servizi & Logistica,45.0,0.0,0.0,86.96
AZ Servizi e Logistica,45.0,0.0,0.0,83.33
Adams Logistics Oy,45.0,0.0,0.0,83.33
Alfil Logistics,45.0,0.0,0.0,90.91
Alfil Logistics (Damm Group),45.0,0.0,0.0,90.91
BF Container Logistics SRL,45.0,0.0,0.0,83.33
BOLLORE LOGISTICS,45.0,0.0,0.0,90.91
Bollore Logistics,45.0,0.0,0.0,90.91
Bouw Logistic Services,45.0,0.0,0.0,83.33
Britannia Logistics sp. z o.o.,45.0,0.0,0.0,91.67
Broekman Logistics Belgium Antwerp NV,45.0,0.0,0.0,91.67
Broekman Logistics Europoort B.V.,45.0,0.0,0.0,83.33
Burhill DCR Logistics Ltd.,45.0,0.0,0.0,83.33
CEVA Logistics,45.0,0.0,0.0,95.65
CEVA Logistics GmbH,45.0,0.0,0.0,90.91
CEVA Logistics Limited,45.0,0.0,0.0,90.91
CLL CARGO LOGISTIC,45.0,0.0,0.0,85.71
CN Logistics,45.0,0.0,0.0,90.91
Cecchi Logistic,45.0,0.0,0.0,85.71
"Cenpac, ID Logistics, 
Promod, FM Logistics, 
Rhenus",45.0,0.0,0.0,83.33
Ceva Logistics,45.0,0.0,0.0,95.65
Ceva Logistics Limited,45.0,0.0,0.0,90.91
Clipper Logistics,45.0,0.0,0.0,90.91
Clipper Logistics KG,45.0,0.0,0.0,90.91
Colin Oneill t/a CRC Logistics,45.0,0.0,0.0,83.33
Culina Logistics Ltd,45.0,0.0,0.0,91.67
"Culina Logsitics
Ltd",45.0,0.0,0.0,83.33
DHL/Mercedes Benz logistics,45.0,0.0,0.0,83.33
Darcia Logistics Limited,45.0,0.0,0.0,90.91
De Klok Logistics,45.0,0.0,0.0,90.91
Eddie Stobart Logistics,45.0,0.0,0.0,83.33
Expert Logistics Ltd,45.0,0.0,0.0,83.33
FEDEX LOGISTIC,45.0,0.0,0.0,85.71
FM LOGISTIC,45.0,0.0,0.0,90.91
FM LOGISTIC HEALTH.,45.0,0.0,0.0,85.71
FM LOGISTICS,45.0,0.0,0.0,95.65
FM Logistic,45.0,0.0,0.0,90.91
Fahrner Logistics GmbH,45.0,0.0,0.0,90.91
Fahrner Logistics Services GmbH,45.0,0.0,0.0,83.33
Fema logistica,45.0,0.0,0.0,86.96
Fiege HealthCare Logistics GmbH,45.0,0.0,0.0,90.91
Flay Logistic,45.0,0.0,0.0,86.96
Fox Global Logistics,45.0,0.0,0.0,91.67
Freight Handling Logistic,45.0,0.0,0.0,85.71
Frigologistics,45.0,0.0,0.0,85.71
GCA SUPPLY LOGISTICS,45.0,0.0,0.0,91.67
"GES LOGISTICS GLOBE 
EXPRESS SERVICES 
LOGISTICS",45.0,0.0,0.0,83.33
GIST,45.0,0.0,0.0,100.0
GXO LOGISTICS France,45.0,0.0,0.0,90.91
GXO Logistics Drinks Ltd,45.0,0.0,0.0,83.33
GXO Logistics UK Limited,45.0,0.0,0.0,83.33
Geodis Contract Logistics United Kingdom,45.0,0.0,0.0,83.33
Geodis Logistics S.p.a.,45.0,0.0,0.0,83.33
Geologistics,45.0,0.0,0.0,85.71
Gist,45.0,0.0,0.0,100.0
Gruber Logistics,45.0,0.0,0.0,90.91
Gvt Transport & Logistics,45.0,0.0,0.0,83.33
H.Essers Logistics Company N.V. Unit 1,45.0,0.0,0.0,83.33
H.Essers Logistics Company N.V. Unit 2,45.0,0.0,0.0,83.33
H.Essers Logistics Company N.V. Unit 3,45.0,0.0,0.0,83.33
Havi Logistics S.r.l.,45.0,0.0,0.0,83.33
Hawkins Logistics Ltd,45.0,0.0,0.0,83.33
Hellmann Worldwide Logistics Limited,45.0,0.0,0.0,83.33
Hutch Logistics Ltd,45.0,0.0,0.0,83.33
ID LOGISTICS,45.0,0.0,0.0,90.91
ID LOGISTICS (Castorama),45.0,0.0,0.0,90.91
ID LOGISTICS / COURIR,45.0,0.0,0.0,90.91
ID Logistics,45.0,0.0,0.0,90.91
ID Logistics (Makro) / Mercadona frio,45.0,0.0,0.0,83.33
ID Logistics Selective 8,45.0,0.0,0.0,83.33
ITC Logistics,45.0,0.0,0.0,90.91
Id Logistics,45.0,0.0,0.0,90.91
Inter Logistic Europe SAS,45.0,0.0,0.0,83.33
JS LOGISTICS,45.0,0.0,0.0,90.91
K&M Euro Logistics GmbH & Co. KG,45.0,0.0,0.0,83.33
L4 Logistics,45.0,0.0,0.0,90.91
LOGISTA,45.0,0.0,0.0,85.71
LOGISTICA,45.0,0.0,0.0,88.89
LOGISTICS OPERATIONS,45.0,0.0,0.0,85.71
Logista,45.0,0.0,0.0,85.71
Logistics Services Europe Lyon,45.0,0.0,0.0,83.33
MARS LOGISTICS,45.0,0.0,0.0,85.71
MAS Logistics,45.0,0.0,0.0,85.71
MOVUS LOGISTICS France,45.0,0.0,0.0,83.33
MTO Logistics Limited,45.0,0.0,0.0,83.33
MTS Logistics,45.0,0.0,0.0,85.71
MUTUAL LOGISTICS TRS,45.0,0.0,0.0,85.71
Mas Logistic,45.0,0.0,0.0,85.71
McGregor Logistics Limited,45.0,0.0,0.0,83.33
"Mercedes-Benz
Parts Logistics Uk
Limited",45.0,0.0,0.0,83.33
Metro Logistics Germany GmbH,45.0,0.0,0.0,83.33
Mirka Belgium Logistics N.V. - Unit 6+7,45.0,0.0,0.0,83.33
Multilogistics,45.0,0.0,0.0,85.71
"Nacex, ID Logistics,
FedEx, DB Schenker,
Eroski",45.0,0.0,0.0,83.33
Naeko Logistics,45.0,0.0,0.0,85.71
Nightline Logistics Group,45.0,0.0,0.0,83.33
Nunner Logistics Venlo B.V.,45.0,0.0,0.0,86.96
OBS Logistics Ltd.,45.0,0.0,0.0,85.71
Odin Warehousing & Logistics B.V.,45.0,0.0,0.0,86.96
Ontime LOGISTICA INTEGRAL,45.0,0.0,0.0,83.33
Otif Logistics,45.0,0.0,0.0,85.71
POD Logistics,45.0,0.0,0.0,85.71
PR Logistics,45.0,0.0,0.0,85.71
Quick Service Logistics,45.0,0.0,0.0,85.71
Quickly Logistics House,45.0,0.0,0.0,83.33
RHENUS LOGISTICS,45.0,0.0,0.0,85.71
RICO Logistics LTD sp. z o.o.,45.0,0.0,0.0,85.71
RS Logistica,45.0,0.0,0.0,85.71
Reslogistics,45.0,0.0,0.0,85.71
Rhenus Freight Logistics,45.0,0.0,0.0,83.33
Rhenus Logistics,45.0,0.0,0.0,85.71
Rohlig SUUS Logistics S.A.,45.0,0.0,0.0,95.65
SDA Logistics,45.0,0.0,0.0,85.71
SEKO Logistics,45.0,0.0,0.0,85.71
SEKO Logistics (London) Ltd,45.0,0.0,0.0,85.71
SESE Logistics,45.0,0.0,0.0,85.71
SNEL Shared Logistics,45.0,0.0,0.0,85.71
SOMAUDEX Logistics SAS,45.0,0.0,0.0,85.71
SPI LOGISTIC,45.0,0.0,0.0,85.71
SPI LOGISTICS (l'Oreal),45.0,0.0,0.0,86.96
STI,45.0,0.0,0.0,100.0
STI Logistics,45.0,0.0,0.0,85.71
Salvensen Logistics (Danone),45.0,0.0,0.0,83.33
